nome_azienda,tipo,latitudine,longitudine,raggio_km,superficie_kmq
United Utilities North West,azienda_pubblica,54.4609,-3.0886,18.5,1085
Scottish Water Central,azienda_pubblica,56.1165,-3.9369,12.2,468
Welsh Water South,azienda_pubblica,51.8818,-3.3436,15.8,785
Anglian Water East,azienda_pubblica,52.5665,0.2405,20.1,1268
Thames Water London,azienda_pubblica,51.5074,-0.1278,25.4,2031
Severn Trent Midlands,azienda_pubblica,52.4862,-1.8904,22.6,1598
Yorkshire Water,azienda_pubblica,53.7997,-1.5492,18.9,1122
Wessex Water,azienda_pubblica,51.0543,-2.3139,12.7,507
Northumbrian Water,azienda_pubblica,55.0061,-1.4300,14.3,642
Southern Water,azienda_pubblica,50.8429,-1.0868,16.2,823
Ineos Grangemouth,azienda_privata,56.0103,-3.7176,3.2,32
Ineos Runcorn,azienda_privata,53.3478,-2.7301,2.8,25
Ineos Seal Sands,azienda_privata,54.6133,-1.1944,2.1,14
British Land London Portfolio,azienda_privata,51.5074,-0.1278,8.5,227
Land Securities Central London,azienda_privata,51.5074,-0.1278,6.2,121
Canary Wharf Group,azienda_privata,51.5045,-0.0174,1.8,10
Grosvenor Estate London,azienda_privata,51.5074,-0.1278,2.3,17
Cadogan Estate Chelsea,azienda_privata,51.4925,-0.1592,1.5,7
Howard de Walden Estate,azienda_privata,51.5182,-0.1447,1.2,4
Portman Estate,azienda_privata,51.5167,-0.1469,1.1,4
Derwent London,azienda_privata,51.5074,-0.1278,3.2,32
Great Portland Estates,azienda_privata,51.5182,-0.1447,2.1,14
Shaftesbury Capital,azienda_privata,51.5132,-0.1316,1.8,10
Heathrow Airport,aeroporto,51.4700,-0.4543,6.5,132
Gatwick Airport,aeroporto,51.1537,-0.1821,3.2,32
Manchester Airport,aeroporto,53.3536,-2.2750,4.8,72
Stansted Airport,aeroporto,51.8849,0.2348,2.9,26
Birmingham Airport,aeroporto,52.4539,-1.7481,2.1,14
Edinburgh Airport,aeroporto,55.9500,-3.3725,2.3,17
Glasgow Airport,aeroporto,55.8719,-4.4333,2.1,14
Bristol Airport,aeroporto,51.3827,-2.7191,1.6,8
Liverpool Airport,aeroporto,53.3336,-2.8497,1.4,6
Newcastle Airport,aeroporto,55.0375,-1.6917,1.3,5
Belfast International Airport,aeroporto,54.6575,-6.2158,1.8,10
Aberdeen Airport,aeroporto,57.2017,-2.1978,1.5,7
Cardiff Airport,aeroporto,51.3967,-3.3431,1.2,4
Port of London Authority Thames,porto,51.5074,-0.1278,45.2,6408
Port of Southampton,porto,50.8998,-1.3938,8.5,227
Port of Felixstowe,porto,51.9544,1.3156,3.2,32
Port of Liverpool,porto,53.4084,-2.9916,12.8,515
Port of Grimsby,porto,53.5676,-0.0755,6.2,121
Port of Immingham,porto,53.6304,-0.1866,4.8,72
Port of Hull,porto,53.7676,-0.3274,5.1,82
Port of Tyne,porto,54.9783,-1.4360,8.1,206
Port of Forth,porto,56.0014,-3.4238,12.3,475
Port of Aberdeen,porto,57.1438,-2.0814,4.2,55
Port of Dundee,porto,56.4620,-2.9707,3.8,45
Port of Glasgow,porto,55.8642,-4.2518,15.2,726
Port of Milford Haven,porto,51.7071,-5.0422,18.5,1075
Port of Newport,porto,51.5881,-2.9977,4.5,64
Port of Swansea,porto,51.6214,-3.9436,6.8,145
Port of Cardiff,porto,51.4816,-3.1791,3.2,32
Port of Belfast,porto,54.6067,-5.8967,8.9,249
Sellafield Nuclear Site,ente_statale,54.4192,-3.5086,5.2,85
Hinkley Point Nuclear,ente_statale,51.2086,-3.1314,2.8,25
Sizewell Nuclear,ente_statale,52.2136,1.6204,2.1,14
Dungeness Nuclear,ente_statale,50.9136,0.9656,1.8,10
Wylfa Nuclear,ente_statale,53.4136,-4.4856,1.5,7
Torness Nuclear,ente_statale,55.9686,-2.4056,1.2,4
Hartlepool Nuclear,ente_statale,54.6336,-1.1856,1.1,4
Heysham Nuclear,ente_statale,54.0286,-2.9156,1.0,3
Oldbury Nuclear,ente_statale,51.6886,-2.5156,0.9,3
Chapelcross Nuclear,ente_statale,55.0186,-3.2156,0.8,2
University of Cambridge,universita,52.2043,0.1218,3.2,32
University of Oxford,universita,51.7520,-1.2577,2.8,25
University of Edinburgh,universita,55.9533,-3.1883,2.1,14
University of Glasgow,universita,55.8721,-4.2890,1.9,11
University of St Andrews,universita,56.3398,-2.7967,1.8,10
University of Durham,universita,54.7761,-1.5733,1.5,7
University of Warwick,universita,52.3791,-1.5606,1.4,6
University of York,universita,53.9480,-1.0536,1.3,5
University of Bath,universita,51.3781,-2.3286,1.2,4
University of Surrey,universita,51.2433,-0.5889,1.1,4
Keele University,universita,53.0036,-2.2736,1.0,3
University of East Anglia,universita,52.6217,1.2411,0.9,3
University of Sussex,universita,50.8645,-0.0877,0.8,2
University of Essex,universita,51.8756,0.9418,0.7,2
University of Kent,universita,51.2978,1.0648,0.6,1
London King's Cross Station,stazione_ferroviaria,51.5308,-0.1238,0.5,1
London Euston Station,stazione_ferroviaria,51.5269,-0.1338,0.4,1
London Paddington Station,stazione_ferroviaria,51.5154,-0.1755,0.3,1
London Victoria Station,stazione_ferroviaria,51.4952,-0.1441,0.3,1
London Waterloo Station,stazione_ferroviaria,51.5036,-0.1136,0.4,1
London Liverpool Street Station,stazione_ferroviaria,51.5183,-0.0822,0.3,1
Birmingham New Street Station,stazione_ferroviaria,52.4777,-1.8990,0.2,1
Manchester Piccadilly Station,stazione_ferroviaria,53.4773,-2.2309,0.2,1
Glasgow Central Station,stazione_ferroviaria,55.8584,-4.2576,0.2,1
